Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2022/23 Salary,Salary
Jimmy Butler,SF,33,MIA,54,54,33.4,7.4,14.0,0.528,0.6,1.7,0.333,6.9,12.4,0.555,0.548,7.2,8.4,0.851,2.3,3.7,6.0,5.1,1.9,0.3,1.7,1.3,22.6,37653300,37653300
John Butler,C,20,POR,9,0,3.3,0.1,0.6,0.2,0.0,0.4,0.0,0.1,0.1,1.0,0.2,0.0,0.0,,0.1,0.1,0.2,0.1,0.1,0.3,0.0,0.2,0.2,503041,503041
Jamal Cain,SF,23,MIA,15,0,12.4,1.7,3.3,0.52,0.1,0.8,0.167,1.6,2.5,0.632,0.54,0.8,1.1,0.75,0.8,1.8,2.6,0.6,0.5,0.0,0.3,1.0,4.4,508891,508891
Kentavious Caldwell-Pope,SG,29,DEN,65,65,31.7,4.0,8.4,0.475,1.9,4.2,0.438,2.1,4.1,0.513,0.586,1.4,1.6,0.84,0.5,2.3,2.8,2.5,1.5,0.5,1.2,2.0,11.2,14004703,14004703
Facundo Campazzo,PG,31,DAL,8,0,6.5,0.4,1.6,0.231,0.4,1.4,0.273,0.0,0.3,0.0,0.346,0.1,0.3,0.5,0.0,0.3,0.3,1.1,0.8,0.0,0.4,0.4,1.3,464299,464299
Vlatko Cancar,PF,25,DEN,49,8,16.3,2.1,4.2,0.49,0.9,2.1,0.4,1.2,2.1,0.583,0.591,0.6,0.7,0.938,0.4,1.9,2.3,1.5,0.4,0.2,0.7,1.6,5.6,2234359,2234359
Clint Capela,C,28,ATL,52,50,26.8,5.4,8.6,0.636,0.0,0.0,0.0,5.4,8.5,0.637,0.636,1.1,1.9,0.592,4.2,6.9,11.1,0.9,0.7,1.2,0.8,2.2,12.0,18706896,18706896
Vernon Carey,C,21,WAS,11,0,2.5,0.2,0.7,0.25,0.0,0.0,,0.2,0.7,0.25,0.25,0.2,0.2,1.0,0.3,0.7,1.0,0.3,0.2,0.2,0.2,0.5,0.5,1782621,1782621
Jevon Carter,PG,27,MIL,67,34,22.5,3.0,6.9,0.432,1.7,4.0,0.421,1.3,2.9,0.446,0.553,0.4,0.5,0.806,0.4,2.2,2.6,2.5,0.9,0.4,1.0,2.0,8.0,6025000,6025000
Wendell Carter,C,23,ORL,45,42,29.9,5.6,10.8,0.524,1.2,3.6,0.341,4.4,7.1,0.617,0.581,2.8,3.8,0.74,2.2,6.6,8.8,2.4,0.4,0.6,2.2,2.9,15.3,14150000,14150000
